price,artist,title,condition,period,movement,year_numeric,condition_grouped,is_signed
14000,Lisa Oppenheim,California Wildfire 2010/2012 (Version II),This work has not been examined unframed as issued. It appears to be in generally excellent condition. Framed under glass.,Contemporary,Abstract,2012,Excellent,Yes
1250,Devin Troy Strother,Grateful Dead Afro Cat Show,Excellent condition.,Contemporary,Pop Art,2021,Excellent,Yes
1250,Devin Troy Strother,Grateful Dead Afro Cat Show,Excellent condition.,Contemporary,Pop Art,2021,Excellent,Yes
9500,Ludwig Bemelmans,Madeline,Occasional light toning on edges. ,Modern,Art Deco,1930,Other,Yes
2000,Jutta Koether,Untitled,No obvious signs of wear.,Contemporary,Expressionism,1992,Other,Yes
3000,James Siena,Spacelock (second version),Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Geometric Abstraction,1999,Other,No
1500,Enoc Perez,Untitled,No obvious signs of wear.,Contemporary,Realism,2005,Other,Yes
1200,Carter Mull,Untitled (Screen),This work is in very good condition.Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Abstract Expressionism,2006,Good,No
3000,James Siena,Antenna,Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Geometric Abstraction,2003,Other,No
3000,Mike Bidlo,"Not Warhol, Marilyn",This work is in very good condition.No obvious signs of wear.,Contemporary,Pop Art,1984,Good,No
1000,Jennifer Reeves,"Place, 4-17",No obvious signs of wear.,Post-War,Conceptual ,1997,Other,Yes
1000,Justine Kurland,Explorer,Laminate rippling at top center.Not examined out of frame.No obvious signs of wear to photograph.,Contemporary,Realism,2000,Other,Yes
1500,Sarah Braman,Indian Summer 8 pm,No obvious signs of wear.,Contemporary,Abstract,2010,Other,Yes
2550,James Siena,"Taste The Houses, Twirly, Upside Down Devil",No obvious signs of wear.,Contemporary,Geometric Abstraction,1997,Other,Yes
4000,Michele Abeles,3-Way,Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Conceptual ,2013,Other,Yes
1500,Kika Karadi,Untitled (OPM No. 1),No obvious signs of wear or damage.,Contemporary,Abstract,2014,Other,Yes
10000,Julia Rommel,Hobby,No obvious signs of wear or damage.,Contemporary,Conceptual ,2012,Other,Yes
2250,CARL VAN VECHTEN,Dizzy Gillespie,This work is in very good condition.No obvious signs of wear or use.,Post-War,Modernism,1955,Good,No
4000,Flip Schulke,"Cassius Clay, Miami Beach","This print is in generally excellent condition. The margin edges are worn and there is a sharp crease in the upper left margin corner that does not appear to break the emulsion. ‘#40 in show’ is written in pencil on the reverse, possibly in the photographer’s hand.",Post-War,Realism,1961,Excellent,Yes
800,Carl Roters,Two Trappers ,No apparent signs of damage to artwork.Not examined out of frame.Frame with minor wear.,Post-War,Realism,1970,Other,Yes
